"Mês de Coleta";"Data";"Projeção (%)";"Data de Validade";"IGP-M Efetivo (%)";"data_coleta"
"Junho";"19/06/2017";"-0,61";"20/06/2017";"-0,67";"2017_07_21"
NA;"09/06/2017";"-0,36";"12/06/2017";NA;"2017_07_21"
NA;"30/05/2017";"-0,02";"02/06/2017";NA;"2017_07_21"
"Maio";"18/05/2017";"-0,77";"19/05/2017";"-0,93";"2017_07_21"
NA;"11/05/2017";"-0,61";"12/05/2017";NA;"2017_07_21"
NA;"27/04/2017";"-0,21";"03/05/2017";NA;"2017_07_21"
"Abril";"19/04/2017";"-0,95";"20/04/2017";"-1,10";"2017_07_21"
NA;"10/04/2017";"-0,65";"11/04/2017";NA;"2017_07_21"
NA;"30/03/2017";"-0,05";"04/04/2017";NA;"2017_07_21"
"Março";"17/03/2017";"0,06";"20/03/2017";"0,01";"2017_07_21"
NA;"09/03/2017";"0,25";"10/03/2017";NA;"2017_07_21"
NA;"23/04/2017";"0,26";"02/03/2017";NA;"2017_07_21"
"Fevereiro";"17/02/2017";"0,03";"20/02/2016";"0,08";"2017_07_21"
NA;"09/02/2017";"0,17";"10/02/2016";NA;"2017_07_21"
NA;"30/01/2017";"0,43";"02/02/2016";NA;"2017_07_21"
"Janeiro 2017";"19/01/2017";"0,74";"20/01/2017";"0,64";"2017_07_21"
NA;"10/01/2017";"0,78";"11/01/2017";NA;"2017_07_21"
NA;"29/12/2016";"0,58";"03/01/2017";NA;"2017_07_21"
"Dezembro";"19/12/2016";"0,46";"20/12/2016";"0,54";"2017_07_21"
NA;"09/12/2016";"0,38";"12/12/2016";NA;"2017_07_21"
NA;"29/11/2016";"0,19";"02/12/2016";NA;"2017_07_21"
"Novembro";"18/11/2016";"0,02";"21/11/2016";"-0,03";"2017_07_21"
NA;"10/11/2016";"0,04";"11/11/2016";NA;"2017_07_21"
NA;"28/10/2016";"0,32";"03/11/2016";NA;"2017_07_21"
"Outubro";"19/10/2016";"0,19";"20/10/2016";"0,16";"2017_07_21"
NA;"11/10/2016";"0,16";"13/10/2016";NA;"2017_07_21"
NA;"29/09/2016";"0,28";"02/10/2016";NA;"2017_07_21"
"Setembro";"19/09/2016";"0,28";"20/09/2016";"0,20";"2017_07_21"
NA;"12/09/2016";"0,34";"13/09/2016";NA;"2017_07_21"
NA;"30/08/2016";"0,37";"02/09/2016";NA;"2017_07_21"
"Agosto";"19/08/2016";"0,04";"22/08/2016";"0,15";"2017_07_21"
NA;"10/08/2016";"-0,02";"11/08/2016";NA;"2017_07_21"
NA;"28/07/2016";"0,05";"02/08/2016";NA;"2017_07_21"
"Julho";"19/07/2016";"0,29";"20/07/2016";"0,18";"2017_07_21"
NA;"11/07/2016";"0,46";"12/07/2016";NA;"2017_07_21"
NA;"29/06/2016";"0,70";"04/07/2016";NA;"2017_07_21"
