"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2019 (NTNB Princ)";"15/05/2019";"4,41";"R$2.769,59";"18/07/2017";"15:34"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,37";"R$2.070,95";"18/07/2017";"15:34"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,54";"R$1.149,30";"18/07/2017";"15:34"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,54";"R$671,29";"18/07/2017";"15:34"
"Tesouro IPCA+ com Juros Semestrais 2020 (NTNB)";"15/08/2020";"4,93";"R$3.158,31";"18/07/2017";"15:34"
"Tesouro IPCA+ com Juros Semestrais 2024 (NTNB)";"15/08/2024";"5,33";"R$3.186,85";"18/07/2017";"15:34"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,38";"R$3.201,09";"18/07/2017";"15:34"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,49";"R$3.200,45";"18/07/2017";"15:34"
"Tesouro IPCA+ com Juros Semestrais 2045 (NTNB)";"15/05/2045";"5,57";"R$3.210,83";"18/07/2017";"15:34"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,53";"R$3.286,30";"18/07/2017";"15:34"
"Tesouro Prefixado 2018 (LTN)";"01/01/2018";"8,68";"R$963,36";"18/07/2017";"15:34"
"Tesouro Prefixado 2019 (LTN)";"01/01/2019";"8,57";"R$888,30";"18/07/2017";"15:34"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"9,15";"R$807,33";"18/07/2017";"15:34"
"Tesouro Prefixado 2021 (LTN)";"01/01/2021";"9,67";"R$727,91";"18/07/2017";"15:34"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"10,14";"R$591,74";"18/07/2017";"15:34"
"Tesouro Prefixado com Juros Semestrais 2021 (NTNF)";"01/01/2021";"9,52";"R$1.018,94";"18/07/2017";"15:34"
"Tesouro Prefixado com Juros Semestrais 2023 (NTNF)";"01/01/2023";"9,93";"R$1.009,04";"18/07/2017";"15:34"
"Tesouro Prefixado com Juros Semestrais 2025 (NTNF)";"01/01/2025";"10,11";"R$1.001,12";"18/07/2017";"15:34"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"10,22";"R$994,14";"18/07/2017";"15:34"
"Tesouro Selic 2021 (LFT)";"01/03/2021";"0,05";"R$8.949,10";"18/07/2017";"15:34"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,05";"R$8.940,15";"18/07/2017";"15:34"
"Tesouro IGPM+ com Juros Semestrais 2021 (NTNC)";"01/04/2021";"5,18";"R$3.672,87";"18/07/2017";"15:34"
"Tesouro IGPM+ com Juros Semestrais 2031 (NTNC)";"01/01/2031";"5,50";"R$5.616,34";"18/07/2017";"15:34"
